time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_position_x,{sensorFMU}.sensor1.lf_1_sensor_position_y,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_position_x,{sensorFMU}.sensor2.lf_1_sensor_position_y,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.099,1.0000000000000002,-0.019,0.099,1.0000000000000002
0.01,0.01,0.0,0.138,-0.08,0.0,0.08000000000038199,0.0,0.0,0.4,-0.4,0.157,0.019000000000000003,143.00000000000003,0.11900000000000001,0.019000000000000003,143.00000000000003
0.02,0.01,0.0,0.138,-0.07989384341742663,0.0,0.1663679864595906,0.003192679175139124,-0.003192679175139124,0.4,-0.4,0.157,0.019000000000000003,205.00000000000006,0.11900000000000001,0.019000000000000003,206.00000000000006
0.03,0.01,0.0,0.138,-0.07970661619630784,0.0,0.26040546423018895,0.00882357304337351,-0.00882357304337351,0.4,-0.4,0.157,0.019106156582573378,234.00000000000006,0.11900000000000001,0.019106156582573378,234.00000000000006
0.04,0.01,0.0,0.138,-0.0794641464665083,0.0,0.36306333867696594,0.01611589574411111,-0.01611589574411111,0.4,-0.4,0.157,0.019293383803692166,245.00000000000006,0.11900000000000001,0.019293383803692166,245.00000000000006
0.05,0.01,0.0,0.138,-0.07917590741437532,0.0,0.4744434397848636,0.024784739417283687,-0.024784739417283687,0.4,-0.4,0.157,0.0195358535334917,250.00000000000006,0.11900000000000001,0.0195358535334917,251.00000000000006
0.060000000000000005,0.01,0.0,0.138,-0.07884974719198992,0.0,0.5941347462353406,0.0345940694138368,-0.0345940694138368,0.4,-0.4,0.157,0.01982409258562469,254.00000000000006,0.11900000000000001,0.01982409258562469,254.00000000000006
0.07,0.01,0.0,0.138,-0.0784921682139571,0.0,0.7214566500274486,0.04534832439226781,-0.04534832439226781,0.4,-0.4,0.157,0.020150252808010083,254.00000000000006,0.11900000000000001,0.020150252808010083,254.00000000000006
0.08,0.01,0.0,0.138,-0.07810855791358207,0.0,0.8556118074725418,0.056885476283246,-0.056885476283246,0.4,-0.4,0.157,0.0205078317860429,255.00000000000006,0.11900000000000001,0.0205078317860429,254.00000000000006
0.09,0.01,0.0,0.138,-0.07770337993081736,0.0,0.9957793493967984,0.06907128027616977,-0.06907128027616977,0.4,-0.4,0.157,0.02089144208641794,254.00000000000006,0.11900000000000001,0.02089144208641794,254.00000000000006
0.09999999999999999,0.01,0.0,0.138,-0.07728033251685174,0.0,1.1411691592870739,0.08179451077137648,-0.08179451077137648,0.4,-0.4,0.157,0.021296620069182648,254.00000000000006,0.11900000000000001,0.021296620069182648,254.00000000000006
0.10999999999999999,0.01,0.0,0.138,-0.07684247977676555,0.0,1.2910510906531272,0.09496301423261512,-0.09496301423261512,0.4,-0.4,0.157,0.02171966748314827,254.00000000000006,0.11900000000000001,0.02171966748314827,254.00000000000006
0.11999999999999998,0.01,0.0,0.138,-0.0763923604077603,0.0,1.4447683601983954,0.10850043886435169,-0.10850043886435169,0.4,-0.4,0.157,0.02215752022323446,254.00000000000006,0.11900000000000001,0.02215752022323446,254.00000000000006
0.12999999999999998,0.01,0.0,0.138,-0.07593207779183889,0.0,1.6017412209494069,0.12234352505747711,-0.12234352505747711,0.4,-0.4,0.157,0.0226076395922397,255.00000000000006,0.11900000000000001,0.0226076395922397,254.00000000000006
0.13999999999999999,0.01,0.0,0.138,-0.07546337464012391,0.0,1.7614649095949062,0.13643986044740133,-0.13643986044740133,0.4,-0.4,0.157,0.023067922208161118,254.00000000000006,0.11900000000000001,0.023067922208161118,254.00000000000006
0.15,0.01,0.0,0.138,-0.07498769483777401,0.0,1.923504447657706,0.1507460199165713,-0.1507460199165713,0.4,-0.4,0.157,0.023536625359876093,255.00000000000006,0.11900000000000001,0.023536625359876093,254.00000000000006
0.16,0.01,0.0,0.138,-0.07450623468423564,0.0,2.0874879327730014,0.1652260245342663,-0.1652260245342663,0.4,-0.4,0.157,0.024012305162225994,254.00000000000006,0.11900000000000001,0.024012305162225994,254.00000000000006
0.17,0.01,0.0,0.138,-0.07401998534723228,0.0,2.25309933192284,0.17985006474489384,-0.17985006474489384,0.4,-0.4,0.157,0.02449376531576436,254.00000000000006,0.11900000000000001,0.02449376531576436,254.00000000000006
0.18000000000000002,0.01,0.0,0.138,-0.07352976803708788,0.0,2.4200713788372923,0.19459344249359742,-0.19459344249359742,0.4,-0.4,0.157,0.024980014652767724,255.00000000000006,0.11900000000000001,0.024980014652767724,254.00000000000006
0.19000000000000003,0.01,0.0,0.138,-0.07303626314964291,0.0,2.5881789125273826,0.20943569474758175,-0.20943569474758175,0.4,-0.4,0.157,0.02547023196291212,254.00000000000006,0.11900000000000001,0.02547023196291212,254.00000000000006
